Institution,BuildingId,Average Number of Residents
8,-124691170,56.94535519125683
8,-124691154,57.37158469945355
8,-124690994,50.450819672131146
8,-124690978,58.07103825136612
8,-124690962,58.69945355191257
8,-124690946,58.032786885245905
8,-107913970,87.49453551912568
8,-107913954,88.27868852459017
8,-107913938,92.57103825136612
8,-107913762,90.03825136612022
8,-107913746,92.94808743169399
8,-107913730,93.40437158469945
8,-74359538,138.36612021857923
8,-74359522,152.0737704918033
8,-74359506,229.75956284153006
8,-74359314,146.61475409836066
8,-74359298,149.54098360655738
9,-124776818,4.396174863387978
9,-124774690,1
9,-124715426,69.53005464480874
9,-107992338,34.20845070422535
9,1653278766,141.75956284153006
9,1653278830,44.87158469945355
9,1653279790,142.37158469945356
9,1653279854,174.775956284153
9,1653286446,142.6120218579235
9,1653289518,131.87158469945356
